Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,14,8000,37.1841,2900,18.8,40.4,52.2,29.8,[0] 0
0,2,48323,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,21,18860,32.7794,500 ,56.9,62.8,75,52.2,[0] 0
0,22,2000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,22,112540,41.5378,2600,43.5,54.5,66,44.5,[0] 0
0,14,115000,35.858,900,55.1,57.6,69.4,47.5,[0] 0
0,14,120377,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,10,129237,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,6,68018,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,8,123629,42.2596,500,48.6,47.9,58.8,38.7,[0] 0
0,20,93750,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,8,65198,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,18,156627,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,14,96809,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,0,130252,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,12,118000,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,19,50000,45.3695,600,45.5,41,51.9,31.7,[0] 0
0,8,153867,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,14,52747,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,14,60717,28.6305,100,54.4,70.7,81.9,60.9,[0] 0
0,3,160000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,0,188000,39.3289,5500,24.2,48.8,61.9,36.9,[1] 0
0,14,44875,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,19,61377,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,21,66383,38.6409,1500,47.1,51.8,63.5,41.7,[1] 0
0,21,190000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,17,264000,47.3826,1700,43.2,48.3,57,37.6,[1] 0
0,18,117000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,23,80000,46.2807,1200,28.6,41.2,51.9,31.4,[1] 0
0,23,54476,35.5889,1300,36.4,59.6,72.3,48.3,[0] 0
0,23,127000,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,19,60000,44.3467,900,33.9,44.4,55,35.3,[1] 0
0,19,50001,35.858,900,55.1,57.6,69.4,47.5,[0] 0
0,0,153555,37.1841,2900,22.3,59.4,71.5,46.5,[1] 0
0,15,104027,34.8938,650,52.5,60.4,71.8,50.2,[0] 0
0,18,93000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,20,115000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,4,68200,46.2807,1200,28.6,41.2,51.9,31.4,[0] 0
0,22,121000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,5,57000,32.6415,600,50.4,63.5,75.6,52.7,[0] 0
0,18,44000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,17,126700,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,3,82000,38.3566,800,28.6,41.2,51.9,31.4,[0] 0
0,21,84000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,12,154832,33.9169,350,48.3,62.4,74.7,52,[0] 0
0,18,137216,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,20,94231,43.9336,3300,32.1,48.4,59.4,36.4,[0] 0
0,14,90000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,5,214864,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,5,78000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,16,175000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,3,50000,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,22,82045,34.8938,650,52.5,60.4,71.8,50.2,[0] 0
0,15,90354,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,16,60000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,19,22400,38.4937,2000,35.6,47.8,58.5,38.1,[0] 0
0,12,51289,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,9,21000,47.3826,1700,43.2,48.3,57,37.6,[0] 0
0,18,102267,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,11,85000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,20,88000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,23,125000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,18,63289,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,14,81503,40.8781,1100,45,48.8,59.7,39.2,[0] 0
0,21,71500,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,16,180400,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,16,190000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,18,57054,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,23,45000,42.9538,1000,43.5,45.4,55.9,36.1,[0] 0
